survey_id,employee_id,department,level,survey_date,survey_quarter,engagement_score,manager_score,growth_score,worklife_score,belonging_score,overall_score,free_text_comment
SRV-01-EMP-00794,EMP-00794,Engineering,IC2,2025-03-15,Q1 2025,4,5,3,4,4,4.0,Excellent mentorship opportunities within the department.
SRV-01-EMP-00920,EMP-00920,Operations,IC1,2025-03-15,Q1 2025,4,4,4,3,4,3.8,
SRV-01-EMP-04714,EMP-04714,Operations,Senior,2025-03-15,Q1 2025,5,4,4,5,4,4.4,Strong alignment between team goals and company mission.
SRV-01-EMP-01806,EMP-01806,Sales,IC1,2025-03-15,Q1 2025,5,4,4,5,4,4.4,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-00894,EMP-00894,Engineering,IC2,2025-03-15,Q1 2025,4,5,4,4,5,4.4,
SRV-01-EMP-02681,EMP-02681,HR,Manager,2025-03-15,Q1 2025,4,4,3,4,4,3.8,Some processes could be streamlined.
SRV-01-EMP-02868,EMP-02868,Engineering,IC1,2025-03-15,Q1 2025,4,5,4,5,5,4.6,The work-life balance has improved significantly this quarter.
SRV-01-EMP-00768,EMP-00768,Engineering,IC1,2025-03-15,Q1 2025,5,5,4,4,5,4.6,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-00329,EMP-00329,Engineering,IC1,2025-03-15,Q1 2025,3,4,3,4,4,3.6,Workload is manageable but could be better distributed.
SRV-01-EMP-04899,EMP-04899,Engineering,IC1,2025-03-15,Q1 2025,3,3,3,4,4,3.4,Benefits are competitive but not exceptional.
SRV-01-EMP-00999,EMP-00999,Sales,Manager,2025-03-15,Q1 2025,4,5,4,3,5,4.2,
SRV-01-EMP-02964,EMP-02964,Engineering,IC2,2025-03-15,Q1 2025,4,5,4,5,4,4.4,
SRV-01-EMP-00565,EMP-00565,Product,Senior,2025-03-15,Q1 2025,4,3,4,4,4,3.8,Benefits are competitive but not exceptional.
SRV-01-EMP-03953,EMP-03953,Sales,Manager,2025-03-15,Q1 2025,3,4,4,4,4,3.8,Workload is manageable but could be better distributed.
SRV-01-EMP-03061,EMP-03061,HR,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,I feel valued and my contributions are recognized.
SRV-01-EMP-03390,EMP-03390,Engineering,Senior,2025-03-15,Q1 2025,5,5,5,5,5,5.0,Good opportunities for learning and development here.
SRV-01-EMP-02762,EMP-02762,Engineering,IC1,2025-03-15,Q1 2025,4,4,4,3,4,3.8,Things are okay. Nothing major to report.
SRV-01-EMP-01883,EMP-01883,Sales,Senior,2025-03-15,Q1 2025,3,3,4,4,3,3.4,Benefits are competitive but not exceptional.
SRV-01-EMP-01046,EMP-01046,Operations,IC2,2025-03-15,Q1 2025,3,3,4,3,3,3.2,Workload is manageable but could be better distributed.
SRV-01-EMP-04272,EMP-04272,Operations,Manager,2025-03-15,Q1 2025,3,3,3,3,4,3.2,Training opportunities exist but are hard to find time for.
SRV-01-EMP-04092,EMP-04092,Engineering,Senior,2025-03-15,Q1 2025,3,3,3,4,3,3.2,
SRV-01-EMP-02367,EMP-02367,Engineering,IC2,2025-03-15,Q1 2025,5,5,5,5,5,5.0,Company culture is supportive and inclusive.
SRV-01-EMP-03509,EMP-03509,Engineering,Senior,2025-03-15,Q1 2025,4,5,4,5,5,4.6,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-00027,EMP-00027,Marketing,IC2,2025-03-15,Q1 2025,4,5,4,4,4,4.2,The new tools and processes have made my job easier.
SRV-01-EMP-00167,EMP-00167,Engineering,IC2,2025-03-15,Q1 2025,4,5,5,5,5,4.8,Excellent mentorship opportunities within the department.
SRV-01-EMP-02322,EMP-02322,Engineering,IC1,2025-03-15,Q1 2025,4,4,5,5,4,4.4,Company culture is supportive and inclusive.
SRV-01-EMP-01241,EMP-01241,Sales,IC2,2025-03-15,Q1 2025,4,5,4,3,4,4.0,
SRV-01-EMP-00219,EMP-00219,HR,IC2,2025-03-15,Q1 2025,4,5,4,4,4,4.2,I feel empowered to make decisions in my role.
SRV-01-EMP-00950,EMP-00950,Customer Success,IC1,2025-03-15,Q1 2025,4,4,4,3,3,3.6,Overall satisfied but see room for improvement.
SRV-01-EMP-00755,EMP-00755,Operations,Senior,2025-03-15,Q1 2025,5,4,4,4,5,4.4,The work-life balance has improved significantly this quarter.
SRV-01-EMP-04452,EMP-04452,Operations,IC2,2025-03-15,Q1 2025,4,4,3,3,3,3.4,Workload is manageable but could be better distributed.
SRV-01-EMP-02564,EMP-02564,Product,Senior,2025-03-15,Q1 2025,5,5,5,5,5,5.0,My manager supports my growth and gives clear feedback.
SRV-01-EMP-03233,EMP-03233,Engineering,Senior,2025-03-15,Q1 2025,4,4,4,4,4,4.0,The new tools and processes have made my job easier.
SRV-01-EMP-03389,EMP-03389,Operations,IC1,2025-03-15,Q1 2025,3,4,4,3,3,3.4,Meetings take up too much time some weeks.
SRV-01-EMP-01194,EMP-01194,Sales,IC1,2025-03-15,Q1 2025,4,4,3,3,5,3.8,
SRV-01-EMP-00649,EMP-00649,Product,IC2,2025-03-15,Q1 2025,4,4,3,4,4,3.8,Meetings take up too much time some weeks.
SRV-01-EMP-03056,EMP-03056,Finance,IC2,2025-03-15,Q1 2025,4,4,4,4,3,3.8,
SRV-01-EMP-01890,EMP-01890,Engineering,IC1,2025-03-15,Q1 2025,5,5,5,5,5,5.0,
SRV-01-EMP-02358,EMP-02358,Engineering,IC2,2025-03-15,Q1 2025,5,5,5,5,5,5.0,
SRV-01-EMP-01493,EMP-01493,Marketing,IC1,2025-03-15,Q1 2025,4,4,4,3,4,3.8,
SRV-01-EMP-01482,EMP-01482,Marketing,Senior,2025-03-15,Q1 2025,4,4,3,4,4,3.8,Workload is manageable but could be better distributed.
SRV-01-EMP-01791,EMP-01791,Operations,IC1,2025-03-15,Q1 2025,3,2,3,3,3,2.8,Work-life balance has deteriorated significantly.
SRV-01-EMP-00533,EMP-00533,Engineering,IC1,2025-03-15,Q1 2025,5,5,4,4,5,4.6,
SRV-01-EMP-01852,EMP-01852,Marketing,Senior,2025-03-15,Q1 2025,4,4,3,4,4,3.8,
SRV-01-EMP-01844,EMP-01844,Operations,IC2,2025-03-15,Q1 2025,4,4,3,4,4,3.8,Training opportunities exist but are hard to find time for.
SRV-01-EMP-02219,EMP-02219,Marketing,Manager,2025-03-15,Q1 2025,5,5,4,4,4,4.4,I feel empowered to make decisions in my role.
SRV-01-EMP-02831,EMP-02831,Operations,IC1,2025-03-15,Q1 2025,4,4,3,3,4,3.6,
SRV-01-EMP-04445,EMP-04445,Engineering,IC2,2025-03-15,Q1 2025,5,5,5,5,4,4.8,
SRV-01-EMP-00752,EMP-00752,Product,IC1,2025-03-15,Q1 2025,4,4,3,4,4,3.8,Would appreciate more clarity on career progression.
SRV-01-EMP-02605,EMP-02605,Product,IC1,2025-03-15,Q1 2025,4,4,5,4,5,4.4,
SRV-01-EMP-04359,EMP-04359,Sales,IC2,2025-03-15,Q1 2025,3,4,3,4,4,3.6,Some processes could be streamlined.
SRV-01-EMP-01725,EMP-01725,Sales,Senior,2025-03-15,Q1 2025,4,3,3,4,3,3.4,Overall satisfied but see room for improvement.
SRV-01-EMP-04226,EMP-04226,Marketing,IC2,2025-03-15,Q1 2025,5,4,5,5,5,4.8,Good opportunities for learning and development here.
SRV-01-EMP-02361,EMP-02361,Product,IC1,2025-03-15,Q1 2025,3,3,3,3,3,3.0,
SRV-01-EMP-03320,EMP-03320,Marketing,Senior,2025-03-15,Q1 2025,3,4,4,4,4,3.8,Workload is manageable but could be better distributed.
SRV-01-EMP-03765,EMP-03765,Engineering,IC1,2025-03-15,Q1 2025,5,5,5,3,5,4.6,
SRV-01-EMP-03395,EMP-03395,Engineering,IC2,2025-03-15,Q1 2025,4,4,3,3,4,3.6,Training opportunities exist but are hard to find time for.
SRV-01-EMP-03055,EMP-03055,Sales,IC2,2025-03-15,Q1 2025,3,3,3,3,3,3.0,Would appreciate more clarity on career progression.
SRV-01-EMP-04180,EMP-04180,Product,IC1,2025-03-15,Q1 2025,4,5,4,3,5,4.2,I feel empowered to make decisions in my role.
SRV-01-EMP-03058,EMP-03058,Engineering,IC1,2025-03-15,Q1 2025,4,4,4,4,5,4.2,Good opportunities for learning and development here.
SRV-01-EMP-03802,EMP-03802,Engineering,IC1,2025-03-15,Q1 2025,5,5,5,5,4,4.8,
SRV-01-EMP-04977,EMP-04977,Marketing,IC2,2025-03-15,Q1 2025,4,4,4,5,5,4.4,The new tools and processes have made my job easier.
SRV-01-EMP-03725,EMP-03725,Customer Success,IC2,2025-03-15,Q1 2025,4,3,3,4,4,3.6,The office setup is adequate for my needs.
SRV-01-EMP-02728,EMP-02728,Sales,Senior,2025-03-15,Q1 2025,4,4,4,5,4,4.2,
SRV-01-EMP-03413,EMP-03413,Operations,Senior,2025-03-15,Q1 2025,4,5,4,4,4,4.2,
SRV-01-EMP-03027,EMP-03027,Sales,IC1,2025-03-15,Q1 2025,4,4,3,4,4,3.8,
SRV-01-EMP-01338,EMP-01338,HR,Senior,2025-03-15,Q1 2025,4,5,4,4,4,4.2,Good opportunities for learning and development here.
SRV-01-EMP-04575,EMP-04575,Engineering,IC2,2025-03-15,Q1 2025,4,4,4,3,4,3.8,Meetings take up too much time some weeks.
SRV-01-EMP-02759,EMP-02759,Engineering,IC2,2025-03-15,Q1 2025,4,4,3,3,4,3.6,Would appreciate more clarity on career progression.
SRV-01-EMP-00626,EMP-00626,Sales,Senior,2025-03-15,Q1 2025,4,4,3,4,4,3.8,
SRV-01-EMP-04335,EMP-04335,Marketing,Senior,2025-03-15,Q1 2025,4,4,4,2,3,3.4,
SRV-01-EMP-04769,EMP-04769,Operations,Senior,2025-03-15,Q1 2025,4,5,5,5,5,4.8,My manager supports my growth and gives clear feedback.
SRV-01-EMP-04490,EMP-04490,Product,IC1,2025-03-15,Q1 2025,5,4,4,5,5,4.6,Excellent mentorship opportunities within the department.
SRV-01-EMP-02314,EMP-02314,Customer Success,IC1,2025-03-15,Q1 2025,4,4,4,4,5,4.2,The new tools and processes have made my job easier.
SRV-01-EMP-01730,EMP-01730,Product,IC2,2025-03-15,Q1 2025,4,4,4,3,4,3.8,
SRV-01-EMP-00608,EMP-00608,Marketing,IC1,2025-03-15,Q1 2025,4,4,3,3,4,3.6,Overall satisfied but see room for improvement.
SRV-01-EMP-01675,EMP-01675,Finance,Senior,2025-03-15,Q1 2025,3,4,4,4,4,3.8,
SRV-01-EMP-04239,EMP-04239,Engineering,IC1,2025-03-15,Q1 2025,4,4,4,5,4,4.2,The work-life balance has improved significantly this quarter.
SRV-01-EMP-04299,EMP-04299,Finance,IC2,2025-03-15,Q1 2025,3,3,3,4,3,3.2,
SRV-01-EMP-04091,EMP-04091,HR,IC1,2025-03-15,Q1 2025,3,4,3,4,4,3.6,Benefits are competitive but not exceptional.
SRV-01-EMP-02879,EMP-02879,Operations,IC2,2025-03-15,Q1 2025,4,4,4,4,4,4.0,
SRV-01-EMP-04981,EMP-04981,Engineering,IC2,2025-03-15,Q1 2025,4,4,5,4,4,4.2,
SRV-01-EMP-04966,EMP-04966,Customer Success,Manager,2025-03-15,Q1 2025,4,3,4,3,3,3.4,Benefits are competitive but not exceptional.
SRV-01-EMP-03831,EMP-03831,Operations,IC2,2025-03-15,Q1 2025,4,5,4,3,4,4.0,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-04748,EMP-04748,Product,IC2,2025-03-15,Q1 2025,4,5,4,3,4,4.0,The work-life balance has improved significantly this quarter.
SRV-01-EMP-00464,EMP-00464,HR,IC1,2025-03-15,Q1 2025,3,4,3,3,3,3.2,Meetings take up too much time some weeks.
SRV-01-EMP-04238,EMP-04238,Engineering,IC2,2025-03-15,Q1 2025,4,4,3,3,3,3.4,Meetings take up too much time some weeks.
SRV-01-EMP-03697,EMP-03697,Engineering,IC2,2025-03-15,Q1 2025,4,4,4,4,4,4.0,I feel empowered to make decisions in my role.
SRV-01-EMP-04816,EMP-04816,HR,Senior,2025-03-15,Q1 2025,3,4,3,4,4,3.6,Communication between teams could improve.
SRV-01-EMP-00467,EMP-00467,Operations,Senior,2025-03-15,Q1 2025,4,4,4,4,4,4.0,Good opportunities for learning and development here.
SRV-01-EMP-04191,EMP-04191,Marketing,Senior,2025-03-15,Q1 2025,4,5,5,5,5,4.8,I feel empowered to make decisions in my role.
SRV-01-EMP-00057,EMP-00057,Product,IC2,2025-03-15,Q1 2025,3,4,3,4,4,3.6,Training opportunities exist but are hard to find time for.
SRV-01-EMP-04591,EMP-04591,Engineering,Manager,2025-03-15,Q1 2025,5,5,5,4,4,4.6,Excellent mentorship opportunities within the department.
SRV-01-EMP-03641,EMP-03641,Sales,IC2,2025-03-15,Q1 2025,3,4,3,3,3,3.2,
SRV-01-EMP-04166,EMP-04166,Engineering,Senior,2025-03-15,Q1 2025,3,3,4,4,4,3.6,Training opportunities exist but are hard to find time for.
SRV-01-EMP-01937,EMP-01937,Sales,IC2,2025-03-15,Q1 2025,4,4,4,4,5,4.2,
SRV-01-EMP-03448,EMP-03448,Product,IC1,2025-03-15,Q1 2025,3,4,3,4,3,3.4,Some processes could be streamlined.
SRV-01-EMP-00332,EMP-00332,Engineering,Manager,2025-03-15,Q1 2025,4,5,4,3,4,4.0,I feel valued and my contributions are recognized.
SRV-01-EMP-04870,EMP-04870,Customer Success,IC1,2025-03-15,Q1 2025,3,4,3,4,4,3.6,Workload is manageable but could be better distributed.
SRV-01-EMP-02936,EMP-02936,Operations,IC1,2025-03-15,Q1 2025,3,3,2,3,2,2.6,Not enough recognition for the work we do.
SRV-01-EMP-04926,EMP-04926,Operations,Manager,2025-03-15,Q1 2025,4,4,4,4,3,3.8,Workload is manageable but could be better distributed.
SRV-01-EMP-02858,EMP-02858,Operations,IC1,2025-03-15,Q1 2025,3,3,3,3,3,3.0,Communication between teams could improve.
SRV-01-EMP-03603,EMP-03603,Operations,Manager,2025-03-15,Q1 2025,3,3,2,3,3,2.8,Career growth feels stagnant. No clear path forward.
SRV-01-EMP-01250,EMP-01250,Sales,Senior,2025-03-15,Q1 2025,3,3,2,2,3,2.6,
SRV-01-EMP-03526,EMP-03526,Operations,IC2,2025-03-15,Q1 2025,3,4,3,3,4,3.4,
SRV-01-EMP-03941,EMP-03941,Product,Manager,2025-03-15,Q1 2025,3,3,3,2,3,2.8,Recent organizational changes have created confusion.
SRV-01-EMP-04914,EMP-04914,Marketing,IC2,2025-03-15,Q1 2025,3,3,3,3,3,3.0,
SRV-01-EMP-02245,EMP-02245,Operations,IC2,2025-03-15,Q1 2025,3,4,4,3,3,3.4,Things are okay. Nothing major to report.
SRV-01-EMP-00148,EMP-00148,Operations,IC1,2025-03-15,Q1 2025,4,4,4,4,5,4.2,
SRV-01-EMP-02615,EMP-02615,Finance,IC2,2025-03-15,Q1 2025,3,4,4,4,4,3.8,Training opportunities exist but are hard to find time for.
SRV-01-EMP-04033,EMP-04033,Customer Success,Senior,2025-03-15,Q1 2025,4,4,4,4,4,4.0,
SRV-01-EMP-04912,EMP-04912,HR,IC2,2025-03-15,Q1 2025,4,4,4,3,4,3.8,
SRV-01-EMP-01990,EMP-01990,Customer Success,Manager,2025-03-15,Q1 2025,3,3,3,4,3,3.2,Benefits are competitive but not exceptional.
SRV-01-EMP-00960,EMP-00960,Sales,IC2,2025-03-15,Q1 2025,4,3,3,3,4,3.4,Overall satisfied but see room for improvement.
SRV-01-EMP-04465,EMP-04465,Engineering,IC2,2025-03-15,Q1 2025,5,5,5,5,5,5.0,I feel valued and my contributions are recognized.
SRV-01-EMP-02672,EMP-02672,Sales,IC2,2025-03-15,Q1 2025,3,4,3,4,4,3.6,
SRV-01-EMP-04615,EMP-04615,Operations,IC1,2025-03-15,Q1 2025,3,3,3,2,3,2.8,
SRV-01-EMP-04185,EMP-04185,Product,IC1,2025-03-15,Q1 2025,4,4,4,4,5,4.2,The new tools and processes have made my job easier.
SRV-01-EMP-04464,EMP-04464,Customer Success,IC1,2025-03-15,Q1 2025,4,4,4,3,4,3.8,Training opportunities exist but are hard to find time for.
SRV-01-EMP-01159,EMP-01159,Engineering,IC1,2025-03-15,Q1 2025,2,2,3,3,3,2.6,Feeling burned out. Workload is unsustainable.
SRV-01-EMP-02767,EMP-02767,Marketing,IC1,2025-03-15,Q1 2025,4,3,3,3,3,3.2,Workload is manageable but could be better distributed.
SRV-01-EMP-01365,EMP-01365,Engineering,IC2,2025-03-15,Q1 2025,4,5,4,4,4,4.2,Company culture is supportive and inclusive.
SRV-01-EMP-00150,EMP-00150,Finance,Senior,2025-03-15,Q1 2025,5,4,5,5,5,4.8,Excellent mentorship opportunities within the department.
SRV-01-EMP-02418,EMP-02418,Product,IC2,2025-03-15,Q1 2025,5,5,4,5,5,4.8,The new tools and processes have made my job easier.
SRV-01-EMP-01234,EMP-01234,Engineering,IC1,2025-03-15,Q1 2025,4,5,4,3,4,4.0,My manager supports my growth and gives clear feedback.
SRV-01-EMP-00304,EMP-00304,Marketing,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,Good opportunities for learning and development here.
SRV-01-EMP-04641,EMP-04641,Product,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-03256,EMP-03256,Engineering,IC2,2025-03-15,Q1 2025,4,5,4,4,3,4.0,
SRV-01-EMP-00021,EMP-00021,Operations,Manager,2025-03-15,Q1 2025,3,3,4,3,3,3.2,Meetings take up too much time some weeks.
SRV-01-EMP-00267,EMP-00267,Engineering,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,Good opportunities for learning and development here.
SRV-01-EMP-02738,EMP-02738,Marketing,IC1,2025-03-15,Q1 2025,4,4,4,3,4,3.8,
SRV-01-EMP-00883,EMP-00883,Engineering,IC2,2025-03-15,Q1 2025,4,4,4,3,4,3.8,Workload is manageable but could be better distributed.
SRV-01-EMP-04143,EMP-04143,Customer Success,Manager,2025-03-15,Q1 2025,5,4,3,4,5,4.2,I feel empowered to make decisions in my role.
SRV-01-EMP-00822,EMP-00822,Engineering,IC1,2025-03-15,Q1 2025,4,5,4,4,4,4.2,Company culture is supportive and inclusive.
SRV-01-EMP-01131,EMP-01131,Engineering,IC2,2025-03-15,Q1 2025,5,5,4,4,4,4.4,
SRV-01-EMP-04521,EMP-04521,Engineering,IC2,2025-03-15,Q1 2025,4,4,3,3,4,3.6,Communication between teams could improve.
SRV-01-EMP-00693,EMP-00693,Operations,IC2,2025-03-15,Q1 2025,4,3,5,4,4,4.0,The work-life balance has improved significantly this quarter.
SRV-01-EMP-00871,EMP-00871,Customer Success,IC1,2025-03-15,Q1 2025,5,5,5,4,4,4.6,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-02523,EMP-02523,Sales,Manager,2025-03-15,Q1 2025,3,4,4,4,4,3.8,
SRV-01-EMP-03894,EMP-03894,Customer Success,IC1,2025-03-15,Q1 2025,4,4,4,4,5,4.2,I feel valued and my contributions are recognized.
SRV-01-EMP-01452,EMP-01452,Marketing,IC2,2025-03-15,Q1 2025,3,4,4,3,3,3.4,Overall satisfied but see room for improvement.
SRV-01-EMP-04060,EMP-04060,Customer Success,IC2,2025-03-15,Q1 2025,4,3,3,4,4,3.6,
SRV-01-EMP-03749,EMP-03749,Sales,IC2,2025-03-15,Q1 2025,4,5,5,4,5,4.6,Company culture is supportive and inclusive.
SRV-01-EMP-01368,EMP-01368,Product,IC1,2025-03-15,Q1 2025,5,5,5,4,4,4.6,Excellent mentorship opportunities within the department.
SRV-01-EMP-04605,EMP-04605,Marketing,IC1,2025-03-15,Q1 2025,4,4,3,3,4,3.6,
SRV-01-EMP-03510,EMP-03510,Sales,IC2,2025-03-15,Q1 2025,4,4,4,4,4,4.0,Excellent mentorship opportunities within the department.
SRV-01-EMP-03038,EMP-03038,Sales,IC1,2025-03-15,Q1 2025,4,4,4,3,3,3.6,Things are okay. Nothing major to report.
SRV-01-EMP-03949,EMP-03949,Engineering,IC1,2025-03-15,Q1 2025,5,4,5,5,5,4.8,
SRV-01-EMP-00328,EMP-00328,HR,IC1,2025-03-15,Q1 2025,4,5,4,4,4,4.2,
SRV-01-EMP-02807,EMP-02807,Customer Success,IC2,2025-03-15,Q1 2025,3,4,3,3,4,3.4,Meetings take up too much time some weeks.
SRV-01-EMP-04078,EMP-04078,Marketing,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-00344,EMP-00344,Sales,IC1,2025-03-15,Q1 2025,3,3,2,3,3,2.8,Lack of transparency from leadership on company direction.
SRV-01-EMP-02420,EMP-02420,Engineering,IC2,2025-03-15,Q1 2025,3,3,3,4,3,3.2,Benefits are competitive but not exceptional.
SRV-01-EMP-03830,EMP-03830,Engineering,IC1,2025-03-15,Q1 2025,4,5,4,4,5,4.4,The work-life balance has improved significantly this quarter.
SRV-01-EMP-00694,EMP-00694,Engineering,IC2,2025-03-15,Q1 2025,4,5,3,4,4,4.0,
SRV-01-EMP-02163,EMP-02163,Engineering,IC2,2025-03-15,Q1 2025,5,4,4,3,4,4.0,
SRV-01-EMP-04654,EMP-04654,Customer Success,Manager,2025-03-15,Q1 2025,4,5,5,4,4,4.4,
SRV-01-EMP-01362,EMP-01362,Engineering,IC2,2025-03-15,Q1 2025,4,4,4,4,5,4.2,I feel valued and my contributions are recognized.
SRV-01-EMP-03741,EMP-03741,Product,IC1,2025-03-15,Q1 2025,4,4,4,5,4,4.2,Excellent mentorship opportunities within the department.
SRV-01-EMP-03332,EMP-03332,Customer Success,IC2,2025-03-15,Q1 2025,4,4,3,3,3,3.4,Benefits are competitive but not exceptional.
SRV-01-EMP-02876,EMP-02876,Engineering,IC2,2025-03-15,Q1 2025,5,5,5,5,5,5.0,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-01288,EMP-01288,Marketing,IC2,2025-03-15,Q1 2025,3,3,3,3,3,3.0,Some processes could be streamlined.
SRV-01-EMP-00742,EMP-00742,Marketing,Manager,2025-03-15,Q1 2025,3,4,3,3,4,3.4,Communication between teams could improve.
SRV-01-EMP-04467,EMP-04467,Sales,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,I feel valued and my contributions are recognized.
SRV-01-EMP-02810,EMP-02810,Engineering,IC1,2025-03-15,Q1 2025,4,5,5,5,5,4.8,I feel valued and my contributions are recognized.
SRV-01-EMP-02699,EMP-02699,Product,IC2,2025-03-15,Q1 2025,4,4,4,4,3,3.8,Some processes could be streamlined.
SRV-01-EMP-00281,EMP-00281,Customer Success,Manager,2025-03-15,Q1 2025,3,4,3,3,3,3.2,
SRV-01-EMP-03866,EMP-03866,Sales,Senior,2025-03-15,Q1 2025,3,3,4,3,3,3.2,Benefits are competitive but not exceptional.
SRV-01-EMP-01525,EMP-01525,Product,Senior,2025-03-15,Q1 2025,4,4,4,3,4,3.8,Workload is manageable but could be better distributed.
